,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.8439925712789325,10,[-16.22828189  10.50256705],[-15.64516471  13.22254034],20.484305016911847
1,0.5294275984737807,6,[-7.09477859 13.62434624],[-9.38712494 13.22269695],16.215974512768124
2,1.3344022931962063,9,[ 17.17716935 -18.60725589],[ 18.7740095  -17.62984225],25.754121425750327
3,0.8644356699478578,14,[-19.12767351  -6.94436154],[-18.77429372  -8.81503078],20.740753901262153
4,0.4712273681265938,14,[-15.34295885   8.91770203],[-12.51622212   8.81510725],15.308884084304953
5,0.5294275985167141,6,[ 10.22225075 -12.25698066],[  9.38711573 -13.22267354],16.215950092708894
6,0.23530198879728315,9,[-7.27240086 -6.8835962 ],[-6.25811875 -8.81519307],10.810720568838054
7,0.21610987726145303,7,[-10.45730617  -5.1598744 ],[-9.38720835 -4.40758192],10.370460885992646
8,0.5306779936200694,5,[-15.04076199  -2.73503514],[-15.6453215   -4.40756945],16.254314915791607
9,0.4712273681288638,11,[-11.93678567  11.63678831],[-12.51622212   8.81510701],15.308883950930781
10,0.058825621893188185,646,[0.37979429 3.73205475],[3.12907804 4.40761554],5.40538658910119
11,0.7052780938787345,629,[-6.41871434 15.35441415],[-6.25803506 17.63021029],18.70794798440339
12,0.9411999259116858,646,[ 10.06908861 -18.88643073],[ 12.51604372 -17.63007644],21.621076426775293
13,0.5294275984230108,915,[ -7.0245617  -13.23279887],[ -9.38711703 -13.22269164],16.215965599941903
14,0.9411999258892431,7,[12.59515147 14.02583299],[12.51602634 17.63007663],21.62106651548293
15,0.23530198882998177,1127,[ 6.24322369 -4.93995809],[ 6.25812708 -8.81519248],10.810724903993018
16,0.156660287378676,10000,[ 1.49268441 -8.02061704],[-5.61184706e-04 -8.81521489e+00],8.815214904123687
17,0.31456880269176823,18,[10.3979049  1.4517427],[1.25162845e+01 1.88593360e-05],12.516284537716684
18,0.37214491042720377,8,[ -4.00553499 -15.76517775],[ -3.129033   -13.22276055],13.587944802988417
19,0.7052780938786948,2862,[  6.2663837  -16.65699553],[  6.25801504 -17.63021037],18.70794135680091
20,1.3344022931994486,11,[17.31235211 18.38704015],[18.77400973 17.62986361],25.754136215526767
21,0.8644356699882771,14,[-18.5031815    8.66162292],[-18.77429354   8.81499659],20.740739201597655
22,1.3158390197911332,14,[ 19.62468808 -13.11347527],[ 21.90317426 -13.22234348],25.584749555633422
23,0.3145688026315753,13,[13.7561386  -1.56667284],[ 1.25162845e+01 -1.07943211e-05],12.516284537719132
24,0.37223696713440435,10000,[ 0.57423019 14.26717928],[ 3.11547926 13.22276792],13.584837226388737
25,0.5306779935910886,15,[15.28572283 -5.42143972],[15.64532152 -4.4075663 ],16.254314079105495
26,0.6266374147177786,4182,[ -1.33125585 -17.59817508],[-1.00063781e-05 -1.76302549e+01],17.63025485032099
27,0.3145688026467711,11,[11.68194142 -2.62884069],[1.25162845e+01 1.33001421e-05],12.51628453771851
28,6.044054146059352e-13,7,[ 0.29433487 -2.49939605],[3.97183689e-07 1.44380588e-06],1.4974412562311326e-06
29,0.47122736812968147,14,[-12.86527668   7.10540772],[-12.51622226   8.81514652],15.308906811018575
30,0.5294275984238115,10,[-9.63486476 10.14850904],[-9.38711234 13.22269336],16.215964286543834
31,0.15667348532376368,10000,[ 0.88198295 -9.2528871 ],[ 5.16123370e-03 -8.81521397e+00],8.815215485219959
32,0.058825621893430324,662,[-0.38480367  4.80420831],[-3.12907808  4.40761554],5.405386612143206
33,0.4712273680674165,11,[-12.16809728  -6.01273671],[-12.51622215  -8.81511472],15.308888412141744
34,0.8644356699424818,17,[18.84313069  5.68224521],[18.77429372  8.81503004],20.740753580924853
