,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.864435669937009,17,[19.79930056  9.80689384],[18.77429371  8.81502924],20.740753236287723
1,0.23530198883021403,841,[ -5.20064456 -10.38447368],[-6.25812711 -8.81519247],10.810724918152204
2,0.5306779935851299,12,[13.06316104  5.12739085],[15.64532145  4.40753357],16.254305135565502
3,0.23530198883028586,139,[-4.72452264 10.31817915],[-6.25812712  8.81519247],10.810724922527392
4,0.7052780938785692,965,[ 4.46609531 19.6440841 ],[ 6.25801505 17.63021037],18.7079413609761
5,1.334402293232158,15,[ 17.37231832 -15.69685818],[ 18.77400978 -17.62986848],25.754139590029947
6,0.8644356699886944,16,[-19.93144842   9.4192578 ],[-18.77429374   8.81503554],20.74075594382817
7,0.4712273681198197,11,[-12.9586461   -7.53333062],[-12.51622212  -8.81510795],15.30888449198885
8,0.4712273680634228,17,[11.24652135 -6.78367142],[12.51622223 -8.81513804],15.308901907905978
9,0.8644356699260991,6,[18.71726283 -8.44311921],[18.77429358 -8.81500461],20.740742649446098
10,0.8644356699752047,15,[-18.04321426   7.36171233],[-18.77429374   8.81503411],20.74075532874698
11,0.8439925712169445,14,[-15.87464685  10.46287754],[-15.64516476  13.22254824],20.484310156078553
12,0.21610987726731268,9,[-8.0042862  -4.30667358],[-9.38720861 -4.40760629],10.370471482114642
13,0.6266374147177535,3144,[ -0.98325821 -18.27931752],[ 1.00038716e-05 -1.76302549e+01],17.630254850320995
14,0.1566602422125558,10000,[1.10473634 6.70461071],[4.74177490e-04 8.81521489e+00],8.815214902134972
15,0.9411999259598882,9,[-15.28098872 -17.30659844],[-12.516036   -17.63005701],21.62105611173394
16,0.5306779935653012,10,[-15.28804418   3.90951961],[-15.64532146   4.40753626],16.254305870912212
17,0.6266374147176235,3391,[ 0.18614327 15.19701871],[9.99086142e-06 1.76302549e+01],17.630254850321005
18,0.23530198882355802,6,[  3.84983904 -10.04503608],[ 6.25812433 -8.81519983],10.810729309916344
19,0.8439925712526519,11,[ 14.03609412 -14.53873569],[ 15.64516473 -13.22254323],20.484306894867185
20,0.5294275984230119,2275,[ 10.22410217 -13.85795122],[  9.38711703 -13.22269164],16.215965599621295
21,0.4712273681210166,14,[-14.66813136   9.46483175],[-12.51622226   8.81514563],15.30890629547117
22,1.0025291797782978,18,[19.4405813  -4.31808632],[21.9033949  -4.40746611],22.342436433179355
23,0.5294275984215026,11,[-7.5608089  11.58759546],[-9.38711345 13.22269329],16.215964874282395
24,0.5306779935766989,12,[-16.37384675  -6.03490932],[-15.64532145  -4.40753466],16.254305431986012
25,0.23530198882999265,1184,[-5.6683837   6.94437845],[-6.25812708  8.81519248],10.810724904669154
26,1.3344022932124153,15,[19.75750009 17.82629439],[18.77400975 17.62986576],25.754137704322655
27,0.47122736806808796,6,[-13.36098052  -6.97148677],[-12.51622223  -8.81513884],15.308902366332873
