,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.3721449104237743,18,[ 3.82668478 14.38680033],[ 3.12904101 13.22277021],13.587956048907905
1,1.3344022932146675,19,[-19.2510417   19.85561398],[-18.77400976  17.6298661 ],25.754137938736694
2,0.21610987727332664,22,[ 8.33349798 -6.90551143],[ 9.38720861 -4.4076072 ],10.370471870161767
3,0.8644356699270237,15,[19.11328507 -8.62468823],[18.77429358 -8.81500445],20.740742580671014
4,0.7052780938928047,16,[-5.33841086 17.30891817],[-6.25802499 17.63019434],18.707929581670808
5,0.8439925712553003,17,[16.17631761 14.24054453],[15.64516496 13.22257696],20.48432883851747
6,0.05882562191151752,19,[ 1.54850686 -5.54404862],[ 3.12907215 -4.40762751],5.405392936462165
7,0.37214491046223186,20,[ 0.60817628 14.01449751],[ 3.12904102 13.22277586],13.58796155006657
8,0.5294275984807528,20,[  9.58989533 -16.34371653],[  9.38711503 -13.22270861],16.21597827849702
9,0.626637414767306,16,[-1.32052109 17.35069753],[-1.55930832e-37  1.76302349e+01],17.63023492619846
10,0.3721449104512087,18,[  4.94126507 -12.67978972],[  3.12904097 -13.22274453],13.587931049669624
11,0.5294275984907868,17,[-10.44841948 -12.54577864],[ -9.3871149  -13.22267635],16.215951899551463
12,0.47122736806194165,17,[-11.55120064  -8.34199655],[-12.51622215  -8.81511567],15.308888958805731
13,0.7052780938601404,17,[-7.72200551 17.35035989],[-6.25802501 17.63019913],18.707934104010015
14,0.05882562190543328,21,[-3.05757384 -7.69686512],[-3.12907215 -4.40762645],5.405392071358468
15,0.05882562191248941,14,[ 3.94545964 -4.49944315],[ 3.12907215 -4.40762767],5.4053930676103175
16,0.3721449104467396,12,[ 3.75225797 13.26544881],[ 3.12904101 13.22277385],13.58795959683867
17,0.8439925712748373,17,[ 14.6186126  -14.05816267],[ 15.64516497 -13.22257911],20.484330238747162
18,0.058825621944431306,14,[-3.28080677 -4.55594668],[-3.12907215 -4.40763211],5.4053966851913415
19,1.3344022932443476,18,[ 18.70688687 -19.42130361],[ 18.7740098  -17.62986995],25.754140607252044
20,0.23530198883909526,17,[-4.66904047 -8.49913319],[-6.25811898 -8.81517999],10.810710032788657
21,0.7052780938623765,25,[-3.77957509 19.03019871],[-6.25802509 17.63022192],18.707955605227195
22,7.11357639460175e-11,18,[0.70633201 1.51249816],[2.94950288e-36 1.68013282e-05],1.6801328155480586e-05
23,1.3344022932618258,16,[ 19.50392765 -17.1550106 ],[ 18.7740094  -17.62983339],25.754115290083956
24,0.23530198884614817,22,[ -6.00352567 -12.32238458],[-6.25811903 -8.81520683],10.810731945082642
25,0.31456880262846976,24,[-14.81559792   1.51004536],[-1.25162845e+01  1.02067669e-05],12.516284537719258
26,0.23530198888788767,17,[-7.28643564  9.71292079],[-6.25811904  8.81521187],10.810736058957156
27,0.47122736810733146,17,[14.19848137 -9.36415305],[12.51622225 -8.81514413],15.308905427583856
28,0.8439925712687492,30,[16.42725651 10.17343563],[15.64516472 13.22254141],20.484305709812254
29,0.47122736808920995,20,[11.47795025 -6.8971054 ],[12.51622214 -8.81511154],15.308886566850099
30,0.8644356699430605,22,[18.83751817  5.30056018],[18.77429357  8.81500196],20.74074151086627
31,0.9411999259255965,20,[ 14.03270982 -19.61760219],[ 12.51603385 -17.63009246],21.621083771937283
32,0.4712273680710569,19,[-12.82566695   6.78350719],[-12.51622214   8.81511413],15.308888071308095
33,1.3344022932249233,18,[19.48541971 19.10315721],[18.77400977 17.62986754],25.754138939098585
34,0.9411999259165724,16,[-12.32610075  17.17695751],[-12.51603363  17.63006174],21.621058595641212
35,0.4712273680806218,21,[-14.86555536 -10.07922055],[-12.51622224  -8.81514074],15.308903470579839
36,0.5294275985102371,23,[-9.40831759 -9.45760606],[ -9.38711489 -13.22267418],16.215950123870392
37,0.07864224984125934,18,[-6.59637397  1.6429481 ],[-6.25815009e+00  1.56010338e-05],6.258150091721048
38,0.23530198885350573,20,[ 7.74497588 10.67749688],[6.25811903 8.81520784],10.810732771292162
39,0.9411999259399211,19,[10.0838296  18.25324379],[12.51603386 17.63009416],21.621085167314938
40,0.0588256219008324,18,[-4.69141689  3.82937727],[-3.12907214  4.40760561],5.405375076069047
41,0.23530198882672193,17,[ 8.51511432 -8.73935515],[ 6.25811899 -8.81518206],10.810711725325632
42,0.7052780938537977,22,[ 7.97657195 16.02293878],[ 6.25802501 17.63020033],18.70793523014382
43,0.7052780938577982,17,[ 6.27984238 18.36186099],[ 6.25802509 17.6302211 ],18.707954834548865
44,0.5294275984726159,19,[11.3036405 14.3256219],[ 9.38711502 13.22270753],16.215977393463312
45,0.530677993575832,19,[-14.12434492   3.27754772],[-15.64532145   4.40753477],16.254305463694003
46,0.6266374147671517,19,[ -1.0044304  -19.73578166],[-4.42815101e-44 -1.76302748e+01],17.63027475900014
47,0.5306779935999532,19,[17.09173528 -2.88842626],[15.64532145 -4.40753182],16.254304658128415
48,1.334402293204779,18,[ 16.99557189 -18.21441938],[ 18.77400974 -17.62986454],25.754136860155764
49,0.5306779935585778,18,[16.6378802   5.52818529],[15.64532151  4.40756184],16.25431286008238
50,0.5306779936120238,18,[-15.63991033  -6.30344796],[-15.64532153  -4.40756862],16.254314715151676
51,0.37214491043134024,20,[ -5.26351783 -12.39705618],[ -3.12904098 -13.22274745],13.587933899782517
52,0.8644356699770739,18,[16.66650486  8.47274036],[18.77429354  8.81499777],20.740739710223316
53,0.0588256219240052,18,[ 4.09839519 -5.62344787],[ 3.12907215 -4.40762944],5.405394506253514
54,0.8439925712422927,17,[-13.92584362  12.97418676],[-15.64516474  13.22254452],20.484307731235422
55,0.3721449104803013,15,[  3.28015259 -12.91090796],[  3.12904097 -13.22274106],13.587927675249393
56,0.7077790678951302,21,[-18.8271547    3.48162879],[-1.87743876e+01  1.86553705e-05],18.77438760414488
57,0.5306779935967212,23,[-15.6738666   -8.34625583],[-15.64532152  -4.40756695],16.2543142586098
58,0.07864224986682777,19,[-6.33883603  2.56824304],[-6.25815009e+00  1.85711160e-05],6.258150091726615
59,0.07864224980533296,19,[6.5979221  1.90203772],[6.25815009e+00 1.00390647e-05],6.258150091713227
60,0.23530198883344633,22,[-6.45290618 -5.38258026],[-6.25811898 -8.81518089],10.810710769151248
61,1.3344022932373663,17,[17.91122854 17.00322213],[18.77400943 17.62983612],25.75411718519509
62,0.4712273681242376,20,[ 13.52083575 -11.30479567],[12.51622226 -8.81514596],15.308906489910466
63,1.3344022932226078,19,[17.46202329 19.08977278],[18.77400977 17.62986723],25.754138721870575
64,0.3721449104217507,17,[ 0.46817078 13.41684945],[ 3.12904101 13.22276982],13.58795567645516
65,0.8439925712599461,19,[-14.89407028 -15.30315945],[-15.64516496 -13.22257749],20.48432918704661
66,0.2353019888725777,20,[-5.6631704   6.35379323],[-6.25811897  8.81517558],10.810706435364795
67,0.8439925712391273,19,[-17.58559017 -12.36088518],[-15.64516474 -13.22254493],20.48430800108632
68,0.31456880267498966,14,[12.97297335 -0.14048798],[ 1.25162845e+01 -1.70003278e-05],12.516284537717368
69,0.05882562196905916,19,[-2.36493021 -2.34452495],[-3.12907214 -4.40759635],5.405367517168362
70,0.15666012951180575,17,[ 0.50574094 -8.15018223],[ 2.33782991e-39 -8.81520376e+00],8.81520376014611
71,0.8439925712462029,19,[-14.23856631  14.66371961],[-15.64516495  13.22257586],20.484328122091945
72,0.05882562194595242,19,[-4.02559997  6.40351266],[-3.12907215  4.40763229],5.405396833514676
73,0.7052780938573762,16,[ 6.3816306  17.99804232],[ 6.25802508 17.63022102],18.707954760524462
74,0.1566601295220622,18,[-1.56538975  9.60634615],[1.86473252e-38 8.81522773e+00],8.815227733988088
75,0.7077790678404052,19,[-18.33054187  -1.83135808],[-1.87743876e+01 -1.14127009e-05],18.774387604155525
76,1.3344022932375896,13,[18.57466943 17.70040788],[18.77400979 17.62986915],25.75414005449196
77,0.5294275984616393,19,[10.40986744 15.00146473],[ 9.38711502 13.22270592],16.215976081864532
78,0.9411999259387105,20,[11.48987707 19.93309785],[12.51603386 17.63009402],21.62108505461005
79,1.4706153914865734,23,[-15.96121744 -18.70865291],[-15.64484786 -22.03729003],27.025976694282196
80,0.15666012954888797,16,[-0.60305055  9.32838439],[7.95829601e-37 8.81523137e+00],8.815231370389434
81,0.058825621971779984,20,[-1.20650854  5.82166321],[-3.12907215  4.40763512],5.40539914246162
82,1.3344022932198238,20,[ 16.97729616 -16.66226981],[ 18.77400946 -17.62983841],25.754118766556946
83,0.6266374146978353,18,[ -0.32184909 -18.94398356],[-6.99385280e-47 -1.76302658e+01],17.63026580125901
84,0.4712273680812652,20,[10.92192231  7.45749965],[12.51622214  8.81511261],15.30888719111731
85,1.3344022932381128,19,[ 17.86927425 -19.53116552],[ 18.77400979 -17.62986922],25.754140098220557
86,0.471227368111515,19,[-10.48945801  -8.08220624],[-12.51622213  -8.81510885],15.308885013689414
87,0.0588256219506299,18,[ 4.5659909  -3.42106655],[ 3.12907214 -4.40759835],5.405369152587119
88,0.2161098772586697,24,[-9.28483626  0.7108177 ],[-9.38720858  4.4075824 ],10.370461299367518
89,0.05882562196327368,21,[ 1.71672125 -6.52694725],[ 3.12907215 -4.40763423],5.405398420796316
90,0.23530198886866627,18,[ 5.96332129 -7.19826335],[ 6.25811898 -8.81517604],10.810706806995814
91,0.843992571216052,19,[ 14.2370541  -14.44629054],[ 15.64516492 -13.22257148],20.484325274005766
92,0.3145688026311859,22,[11.17975715 -2.07963786],[ 1.25162845e+01 -1.07224273e-05],12.516284537719148
93,0.4712273681160176,21,[-9.54504041 -8.86114779],[-12.51622212  -8.81510836],15.30888472766145
94,1.3344022931993984,14,[-18.90761506 -17.54025332],[-18.77400949 -17.62984165],25.754121011827355
95,0.5294275984712682,23,[ 10.05342838 -10.25543771],[  9.38711491 -13.22267886],16.21595395050279
96,0.5294275984761868,18,[ 8.5689162 14.5724962],[ 9.38711502 13.22270801],16.215977789766793
97,0.9411999259021269,18,[12.40976083 19.1066341 ],[12.51603383 17.63008919],21.621081088124512
98,0.8439925712730512,22,[16.39645268 16.46485018],[15.64516497 13.22257892],20.484330117335016
99,0.8644356699462679,20,[17.83066501  6.8918793 ],[18.77429356  8.81500151],20.74074131885843
100,0.5294275984531583,20,[11.66940928 14.22864713],[ 9.38711501 13.22270453],16.215974943291027
101,0.21610987728839703,24,[-9.32609236 -8.34658499],[-9.38720862 -4.40760925],10.370472743980852
102,1.3344022931995512,17,[ 19.98145282 -18.14238072],[ 18.77400973 -17.62986363],25.754136228406804
103,0.47122736806039844,19,[15.32835044 -8.74403293],[12.51622215 -8.81511595],15.308889121551449
104,0.058825621923941696,24,[-2.42695406 -1.42830639],[-3.12907214 -4.40760176],5.405371933582142
105,0.5294275984473841,18,[-8.10292745 12.59673426],[-9.38711492 13.22268272],16.215957109749684
106,0.5306779935670818,19,[13.54946539 -5.07951583],[15.64532152 -4.40756314],16.254313217828646
107,0.47122736806378107,24,[12.14478276  5.62162507],[12.51622215  8.81511534],15.308888770069291
108,0.07864224984576451,17,[-4.68517546  0.47059629],[-6.25815009e+00  1.61640344e-05],6.25815009172203
109,0.6266374146969941,21,[  1.96526066 -16.50150682],[ 1.53231443e-41 -1.76302441e+01],17.630244053661094
110,0.372144910449396,16,[ -2.09491714 -13.60303191],[ -3.12904101 -13.22277422],13.587959950709033
111,0.05882562190936691,23,[2.01998352 1.94514252],[3.12907214 4.40760404],5.405373792635876
112,0.058825621915803206,22,[1.63428035 2.42318606],[3.12907214 4.40760298],5.40537293018503
113,0.94119992588774,20,[ 10.42749142 -17.02618397],[ 12.51603366 -17.63006636],21.621062380689192
