,f_opt,iterations,x_0,x_opt,dist_to_origin
0,50.269257348952735,1000,[ -5.33638432 -18.35362244],[-131.44921007   83.59509996],155.7788033196646
1,inf,1000,[  6.41046207 -18.68937489],[2.91732773e+159 1.03963471e+159],inf
2,0.3249307330288571,1000,[11.84744534 -0.09449225],[ 1.26599899e+01 -1.94837900e-03],12.659990094971533
3,0.7397920535848916,1000,[-18.72594693  -1.66192084],[-18.77315632   0.35787979],18.77656721229098
4,inf,1000,[6.75904681 3.25639764],[1.69150114e+158 4.96476872e+158],inf
5,inf,1000,[8.39707541 9.71486803],[ 1.18533731e+159 -7.95375627e+158],inf
6,1.720277753656757e+143,1000,[-4.40119344 12.11030244],[ 9.04551141e+72 -2.04758663e+72],9.274367238946161e+72
7,inf,1000,[-16.15737127  15.30229675],[-5.27381614e+158  9.95659278e+158],inf
8,inf,1000,[15.16476014 -5.44533004],[3.93735673e+158 2.13426387e+157],inf
9,inf,1000,[  8.01838624 -15.15810616],[-2.89865451e+158 -1.09063104e+159],inf
10,1.015532248935101,1000,[12.43315317 18.81768882],[12.90322221 17.61716259],21.837068513373154
11,inf,1000,[-13.19010059  -3.56028579],[3.9766037e+158 3.5922341e+158],inf
12,2.0863158821023487e+208,1000,[10.90369153 11.39348181],[-3.22896315e+105 -7.33240315e+103],3.2297955679131985e+105
13,inf,1000,[18.41329123 14.5667163 ],[-1.71422995e+158 -2.08391331e+159],inf
14,inf,1000,[-8.80922762 14.21454336],[-2.40167792e+159 -1.91050776e+159],inf
15,inf,1000,[10.63745059  8.4104543 ],[ 1.75301788e+159 -2.73888023e+158],inf
16,4.50465602383464,1000,[-5.67831408  7.16657204],[43.95375279 17.86402497],47.445292419781
17,0.24801479439880014,1000,[9.40408831 5.59060924],[9.38698527 4.76415837],10.526761008430245
18,inf,1000,[ 9.89855575 -9.09610493],[-2.60949724e+158 -4.48992985e+158],inf
19,1.7040443675930794e+266,1000,[-14.60084312  -3.51738385],[9.29325878e+133 2.76705173e+134],2.9189419038352577e+134
20,19.162641789730472,1000,[-1.72938274  1.89342747],[ 42.54662577 -84.89781812],94.96238669072228
21,inf,1000,[-11.87009216 -15.12938197],[-1.59211863e+158  1.51366920e+158],inf
22,17.65061666208032,1000,[15.36849986 -6.28568233],[-40.96467423 -79.06048424],89.04304971399196
23,inf,1000,[  6.36378108 -15.22196586],[-1.55125226e+159 -1.30036269e+159],inf
24,46.06173702493398,1000,[  9.07474005 -18.55580658],[141.63374156  44.95750289],148.59775844122947
25,330.6507349688026,1000,[ 3.37210472 16.88737413],[252.50419925 317.9759647 ],406.03827993105546
26,0.15753794932258436,1000,[-1.14511702 -8.73284212],[ 0.04184362 -8.81455023],8.814649544088953
27,inf,1000,[ 6.03206559 -6.44353429],[-1.31913466e+159 -2.80937480e+159],inf
28,6.273390432915831e+50,1000,[-13.7595752   -2.59714513],[-8.10628639e+25  5.54164537e+26],5.60062069458191e+26
29,inf,1000,[-6.57509601  3.95776956],[4.52346687e+156 9.65931969e+156],inf
30,0.8657101166212743,1000,[18.55063591  9.02172041],[18.7237845   8.81652907],20.695682902328386
31,inf,1000,[-14.2370491  13.1024462],[ 2.74554502e+159 -1.73757977e+159],inf
32,inf,1000,[-14.19816135 -18.88964396],[-7.69382586e+158 -2.49247037e+158],inf
33,inf,1000,[13.44588442 -3.27576064],[-6.47531856e+158  1.16198241e+158],inf
34,inf,1000,[-0.06870469 15.10635672],[-2.29643598e+158  7.55377548e+158],inf
35,inf,1000,[-2.80241205 18.50785972],[-4.97678041e+158  3.79262635e+158],inf
36,4.606858854811441,1000,[8.33731663 3.87598201],[ 9.82137591 42.02544984],43.157825003011695
37,inf,1000,[-16.2351551  -6.8553862],[ 2.89713154e+158 -6.84253422e+158],inf
38,inf,1000,[-17.55911114   5.05407402],[7.71952955e+158 1.67411213e+159],inf
39,178.36482494887,1000,[15.76413142 -6.15479757],[292.85687396 -56.99148605],298.3507635476059
40,43.438016028796866,1000,[ 1.12899417 -9.4211028 ],[137.02254833  47.96970839],145.17669122063452
41,73.43413443295438,1000,[ 2.86740912 11.62602415],[118.76820565 147.71421022],189.53990232935354
42,42.41009316158454,1000,[ 5.90261302 15.67668281],[-142.67582839   21.29159184],144.25575860308587
43,inf,1000,[-11.26219416  -4.23127538],[-4.73266189e+158 -7.51025145e+158],inf
44,56.08705510720678,1000,[ 3.97768924 -8.21728187],[-73.76526362 148.67969645],165.97278769118284
45,25.673316650437368,1000,[11.00547879 18.62171293],[-13.38727292 109.53725215],110.35229352325176
46,19.097355394976447,1000,[-12.85573805  -5.61838449],[-91.7696166   17.00706772],93.33221782146825
47,0.9884927376503927,1000,[-12.74365509 -16.33844473],[-12.20674973 -17.65102707],21.460743126593442
48,inf,1000,[-2.64263706  0.33198925],[-5.72196492e+158 -1.08998669e+158],inf
49,73.71710262955192,1000,[ 5.60461082 12.34288444],[ -35.7321876  -186.79014706],190.1771497033825
50,inf,1000,[-18.91072798  16.03219505],[-8.30454155e+158 -2.49518505e+159],inf
51,inf,1000,[ 6.17993723 -4.98247771],[-2.30604713e+159 -2.62215592e+157],inf
52,26.906183346452178,1000,[ 3.67355861 -1.07904227],[-111.98637043   20.05607811],113.76815648707077
53,229.50825894085747,1000,[ 3.31248654 19.60311013],[-338.36832622   -0.92026974],338.36957766102506
54,0.059518971288126,1000,[3.02714339 3.76270036],[3.09496832 4.42847253],5.402795376274773
55,inf,1000,[-16.76444974  -5.43440126],[ 4.34311456e+158 -7.78810726e+158],inf
56,0.8799732117756659,1000,[-18.64828074  -9.19897578],[-18.59775748  -8.82942735],20.587262332684862
57,69.22872993902544,1000,[-16.34274681 -16.25562847],[-102.88573297  153.819718  ],185.0566931947345
58,inf,1000,[ 12.39093384 -13.94834694],[ 1.43607486e+159 -2.69534553e+159],inf
59,inf,1000,[12.08842197 -7.30790986],[-6.03101385e+158 -2.38941495e+159],inf
60,61.640518828545616,1000,[ 3.74786319 15.27892422],[-147.95415391   90.00572977],173.18043495900153
61,inf,1000,[-18.1728504   -3.54917044],[ 1.59745442e+157 -2.65790474e+158],inf
