,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.941240184316,1000,[ 13.33307826  15.43025887],[ 12.51431966  17.6176158 ],21.6099186235
1,0.529468654418,1000,[ 10.17108828  15.23266622],[  9.38511936  13.23515639],16.224975504
2,4.56442985334e-05,1000,[ 0.11188159 -2.52236579],[ 0.00069234 -0.01342292],0.0134407598227
3,0.471251161128,1000,[ 12.34054977   5.47403916],[ 12.50960841   8.81784579],15.3050549467
4,0.529427730149,1000,[  9.47563272 -12.60257664],[  9.38759243 -13.22296036],16.2164599208
5,1.33441795332,1000,[ 16.21537066  17.64714615],[ 18.77961312  17.62962992],25.758061265
6,0.530703969948,1000,[-14.2614838    3.11726746],[-15.64992623   4.39974539],16.2566278945
7,0.0786481222988,1000,[ 6.40790259  1.7842424 ],[  6.25761175e+00   4.76800822e-03],6.25761356688
8,0.0786486833094,1000,[ 4.97959672  2.29979018],[  6.25549789e+00   3.39505359e-03],6.2554988068
9,0.0588261848721,1000,[ 2.9589102   3.02578668],[ 3.12902675  4.40612196],5.4041390724
10,0.941241404827,1000,[-12.018433   -15.25512586],[-12.51518548 -17.61725437],21.6101253847
11,0.0786472963159,1000,[ 5.00767186  0.65643688],[  6.25642479e+00   3.75542439e-03],6.25642592126
12,0.372159891856,1000,[ -1.45017427 -12.55769028],[ -3.13412569 -13.21991579],13.5863504017
13,0.235354553254,1000,[ -5.02861823 -11.37285927],[-6.24959802 -8.80715611],10.799234889
14,0.471252764639,1000,[ 14.73049679   7.5984064 ],[ 12.51057897   8.82123824],15.3078029207
15,0.705337124047,1000,[ -8.20181073  18.63650002],[ -6.24716332  17.6308699 ],18.7049357883
16,1.47066572467,1000,[ 15.3896048 -19.5486618],[ 15.64190451 -22.02368332],27.0131783342
17,0.156719469473,1000,[-0.00678111 -5.33620513],[  4.59805861e-05  -8.79985887e+00],8.79985887187
18,1.33445860451,1000,[-18.50159811 -14.53088517],[-18.76366691 -17.6332282 ],25.7489015849
19,0.843995664389,1000,[ 15.03476035 -12.02928889],[ 15.64506994 -13.2190499 ],20.4819797239
20,0.314577760165,1000,[-13.48920535   0.16743027],[ -1.25204865e+01   6.44449307e-04],12.5204864978
21,0.843994287711,1000,[ 15.9709946  -12.95481211],[ 15.64701834 -13.2225506 ],20.485727404
22,0.864461513273,1000,[ 16.6138542    9.96786709],[ 18.77974322   8.80842647],20.7428814818
23,0.235309238006,1000,[-8.30220029  7.39270165],[-6.25443762  8.81653308],10.8096829517
24,0.626641957238,1000,[  0.95436373 -16.73306778],[  7.88523890e-04  -1.76261464e+01],17.6261464506
25,0.529433939899,1000,[ 11.16740808 -15.21207978],[  9.38888469 -13.22706011],16.2205510036
26,0.47125969889,1000,[ 12.28660092  -6.53318261],[ 12.51631426  -8.80378612],15.3024433549
27,0.941232228826,1000,[-11.42099163  16.03414403],[-12.52072071  17.6208765 ],21.6162840421
28,0.471246281363,1000,[-13.15246673   7.04710856],[-12.513488     8.80734751],15.302181282
29,0.372176328927,1000,[  2.55088555  15.24478721],[  3.13123409  13.23350591],13.5989082545
30,0.530684243384,1000,[ 16.7553104   -4.33349416],[ 15.64884535  -4.40721237],16.2576099644
31,0.471253626068,1000,[ 14.72257452  10.46263288],[ 12.52148646   8.80812711],15.309171316
32,0.216135540128,1000,[ 7.67695292 -2.78224536],[ 9.39256453 -4.40090799],10.3724760623
33,0.844022311303,1000,[ 16.16603681 -10.23305156],[ 15.65273629 -13.22051786],20.4887834173
34,0.471275502101,1000,[ 10.55582996   7.81882374],[ 12.5260215    8.81475062],15.3166916489
35,0.235343309391,1000,[-7.45344959  7.10237895],[-6.25277964  8.80481595],10.7991683491
36,0.47123974533,1000,[ 14.07496673  11.11932301],[ 12.5211928    8.81501141],15.3128931099
37,0.998826871175,1000,[ -2.97993884  19.06447172],[ -3.12502955  22.02468939],22.2452860724
38,0.216148599529,1000,[ 11.01133168  -2.68114107],[ 9.38100196 -4.39880376],10.3611134711
39,8.50290730192e-06,1000,[-1.74495529 -0.24739018],[ 0.00403174 -0.00116659],0.00419712387427
40,0.235339240845,1000,[ 6.30014833  6.3948899 ],[ 6.25795335  8.80302615],10.8007059738
41,0.530681052866,1000,[-14.36800817  -4.18714501],[-15.64300627  -4.40632345],16.2517485693
42,0.0589150547639,1000,[ 5.66565783 -5.66608031],[ 3.12717057 -4.38896321],5.38908097976
43,0.216110075185,1000,[-9.46111484 -3.83354354],[-9.38764212 -4.40823602],10.3711315384
44,0.84403478982,1000,[-13.96861075 -14.71751024],[-15.65340193 -13.22836725],20.4943575648
45,0.705309613626,1000,[  7.73678722 -15.90372867],[  6.25272256 -17.6218374 ],18.6982804762
46,0.372197117933,1000,[  2.39128443 -16.28409389],[  3.12613024 -13.20893693],13.5738242584
47,0.235342501969,1000,[ 7.94004703  9.94777044],[ 6.25028323  8.82139949],10.811250133
48,0.23530448963,1000,[-6.20821952  7.22965613],[-6.25826046  8.81204674],10.8082372197
49,0.471233951653,1000,[-11.45817985  -7.78062728],[-12.51608679  -8.81001198],15.3058400509
50,1.15610457882,1000,[  9.12283618  18.88400333],[  9.37742975  22.04087899],23.9527980686
51,0.705281968659,1000,[  7.2701497  -17.02724973],[  6.25991526 -17.62732879],18.7058616276
52,0.216170028071,1000,[-7.26345388  4.28771092],[-9.39815315  4.40814428],10.3806078134
53,0.0588771822285,1000,[ 5.09684638  3.40748957],[ 3.11897273  4.40638158],5.39853586641
54,0.843997060212,1000,[ 16.8352806   13.83377053],[ 15.64530784  13.22678655],20.4871554834
55,0.372164552098,1000,[ -5.0949743   14.77373566],[ -3.12280887  13.22364339],13.5873720657
56,0.530681357405,1000,[-14.00455084   4.26008007],[-15.64787637   4.4069425 ],16.2566041062
57,0.372149568555,1000,[  2.76880034  14.74465735],[  3.12983404  13.22691785],13.5921748386
58,0.530745622511,1000,[-15.78688338  -0.11019784],[-15.64927989  -4.39213961],16.2539487916
59,0.216112646924,1000,[ 9.97169249 -5.71402059],[ 9.38725731 -4.41090986],10.3719200595
60,0.52945064659,1000,[ -8.55571634  11.53554961],[ -9.39049909  13.2144012 ],16.211165044
61,0.372186676837,1000,[ -4.58840729 -11.54969604],[ -3.12275464 -13.21339397],13.5773847529
62,0.372174668812,1000,[ -3.490477   -15.33590901],[ -3.12815141 -13.2335671 ],13.5982583261
63,0.235306629738,1000,[ 8.0527832   7.08074351],[ 6.25716622  8.81111223],10.8068417179
64,0.372172488698,1000,[ -4.1472095   14.73857933],[ -3.12526482  13.23177252],13.5958480515
65,0.235308245687,1000,[-7.05861678 -8.24920764],[-6.26150089 -8.81375508],10.8115064617
66,0.530681536587,1000,[-16.15104206  -3.89145453],[-15.64797324  -4.40726693],16.2567853005
67,0.844034714859,1000,[-17.40911691 -12.19916339],[-15.63627425 -13.21923802],20.4753834218
68,0.843992736372,1000,[ 15.61093106 -12.19597135],[ 15.64513051 -13.22174959],20.4837684722
69,0.0588954874609,1000,[ 2.67679451 -7.84391843],[ 3.11928527 -4.39830506],5.39212647939
70,0.530703539258,1000,[ 15.54483607   7.91942142],[ 15.64544697   4.39747139],16.2517003857
71,0.216111341239,1000,[-10.92625096  -4.65155785],[-9.38606602 -4.40938514],10.370193474
72,0.0588318864843,1000,[ 4.05990737 -5.10265817],[ 3.13212971 -4.41011586],5.40919202814
73,0.47131139597,1000,[ 12.54814814  12.68759556],[ 12.52539392   8.80224731],15.3089859411
74,0.216120868228,1000,[-8.38133758  1.88578666],[-9.38252824  4.40774334],10.3662933381
75,0.0588725355509,1000,[-4.67242145  5.90695304],[-3.12194538  4.41683481],5.40878662468
76,0.216112587753,1000,[ 9.01408429 -4.48294485],[ 9.38488404 -4.40753513],10.3683371095
77,1.33440477516,1000,[-19.42128704 -16.8204014 ],[-18.77528246 -17.62727785],25.7532940835
78,0.941202357594,1000,[-12.65808441 -18.96693603],[-12.51594776 -17.63318952],21.6235593996
79,0.844036380723,1000,[-13.73911007 -12.21893972],[-15.65451162 -13.22183134],20.4909872423
80,0.529475520162,1000,[  8.08388524  14.94782008],[  9.39316526  13.23357145],16.2283383907
81,0.530723044969,1000,[-16.52788513  -6.86101414],[-15.64985661  -4.41931327],16.2618677167
82,0.471276658091,1000,[ 14.08065831   6.60982378],[ 12.52106219   8.8273642 ],15.3199006903
83,0.471259681534,1000,[-11.7876176   10.76573549],[-12.51956346   8.82544719],15.3175711958
84,0.705309400803,1000,[ -7.78096553  19.54947054],[ -6.25540111  17.64074367],18.7169944195
85,0.705322417696,1000,[ -3.79197515  18.02136182],[ -6.26704556  17.62640031],18.7073741571
86,0.0588367574509,1000,[-0.37228763 -4.2769331 ],[-3.13378222 -4.407725  ],5.40820031581
87,1.00258622614,1000,[-19.48465483   4.88105799],[-21.91340779   4.40226634],22.351227928
88,0.707782416312,1000,[ 19.53133467  -0.96523158],[  1.87757377e+01  -3.11333890e-03],18.7757379704
89,0.705278217007,1000,[  6.17503348  17.69294237],[  6.25752898  17.63017408],18.707744569
90,0.705309338351,1000,[ -7.33933809  16.06622603],[ -6.25340252  17.62113116],18.6978422924
91,0.705296712323,1000,[ -7.05437252 -16.06570913],[ -6.2550629  -17.62266197],18.699840283
92,0.216150759719,1000,[ 10.88108321   2.56187016],[ 9.38186093  4.39731665],10.3612599712
93,0.843996273742,1000,[-16.40196995  13.91132616],[-15.64738078  13.22480595],20.487460012
94,0.2161176134,1000,[-8.63873254 -4.116855  ],[-9.3832964  -4.40709558],10.3667132081
95,0.844068618927,1000,[-13.29881267  13.27027585],[-15.65750094  13.2226479 ],20.4937979162
96,0.529450120174,1000,[ 10.18312285 -11.53881045],[  9.38379519 -13.21444828],16.2073210464
