,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.529427598423,2793,[ 11.38094135 -12.98008407],[  9.38711703 -13.22269164],16.2159655994
1,1.4706153915,177,[-16.07273323  19.72381933],[-15.64483799  22.03730203],27.0259807749
2,1.33440229323,14,[-18.04741768  19.31023338],[-18.77400944  17.62983669],25.7541175774
3,0.0588256218932,478,[ 1.85372417 -2.12125475],[ 3.12907805 -4.40761554],5.40538659405
4,0.941199925912,423,[-15.52090944 -18.2737604 ],[-12.51602372 -17.63007659],21.6210649625
5,0.372144912041,10000,[  4.20870448 -12.59874821],[  3.12898364 -13.22275957],13.5879324858
6,0.471227368065,13,[ 11.72291392  -7.63887504],[ 12.51622215  -8.81511511],15.3088886378
7,0.0786422498397,11,[ 7.19135656  5.93384744],[  6.25815009e+00   1.53998443e-05],6.25815009172
8,0.372150440989,10000,[ -4.54576799 -12.50884087],[ -3.125717   -13.22276334],13.5871842957
9,0.0588256218932,699,[ 1.99920129  2.82110591],[ 3.12907803  4.40761555],5.40538658562
10,0.843992571264,15,[-14.07115291  14.31021655],[-15.64516496  13.22257796],20.4843294877
11,1.33440229326,13,[ 17.94976605  16.64733959],[ 18.77400941  17.62983357],25.7541154184
12,7.98805466218e-13,7,[ 1.20000555  0.40021564],[ -6.25002638e-07   1.54653291e-06],1.66805046281e-06
13,0.626637414718,1132,[  1.29042765  19.30218731],[ -9.99844663e-06   1.76302549e+01],17.6302548503
14,0.471227368073,16,[ 11.57345864  -9.14691257],[ 12.51622223  -8.81513956],15.3089027852
15,0.471227368067,13,[ 13.3188877   -6.45976058],[ 12.51622215  -8.81511486],15.3088884921
16,0.529427598425,7,[ 10.66966042 -11.25474351],[  9.38711297 -13.22269627],16.2159670252
17,0.23530198883,805,[-4.4101566   8.46690174],[-6.2581271   8.81519247],10.8107249128
18,0.21610987727,11,[ 8.46791046  1.9355553 ],[ 9.38720858  4.40758061],10.3704605351
19,0.0786422498243,10,[ 7.30726297 -1.98684572],[  6.25815009e+00  -1.32634277e-05],6.25815009172
20,0.705278093879,2590,[ -5.10356209 -19.83423614],[ -6.25803505 -17.63021029],18.7079479811
21,0.843992571265,9,[-15.52026625  15.85464662],[-15.64516472  13.22254179],20.4843059544
22,0.529427598423,4671,[  9.79261449  11.99692973],[  9.38711703  13.22269164],16.2159655988
23,0.314568802639,14,[-12.58478385  -3.76154978],[ -1.25162845e+01  -1.21523504e-05],12.5162845377
24,0.23530198883,807,[ -4.83575505 -10.83928941],[-6.25812706 -8.81519248],10.8107248945
25,0.530677993561,17,[ 16.81552778   5.12629563],[ 15.64532151   4.40756223],16.254312969
26,0.23530198883,817,[-5.64805591 -8.82296838],[-6.25812706 -8.81519248],10.8107248911
27,0.235301988797,7,[-5.40256495 -8.89720315],[-6.25811866 -8.8151931 ],10.8107205401
28,0.372145119365,10000,[  2.40474292  16.2942778 ],[  3.12839487  13.22276033],13.5877976599
29,0.530677993566,7,[ 17.00963768   2.74268165],[ 15.64532142   4.40753613],16.2543058007
30,0.529427598423,3508,[  9.25044078 -13.90786891],[  9.38711703 -13.22269164],16.215965599
31,0.864435669949,9,[-16.22970134   8.9286748 ],[-18.77429356   8.8150011 ],20.7407411396
32,0.372144912063,10000,[ -3.64982783 -15.17639571],[ -3.12909872 -13.22275942],13.5879588372
33,0.843992571265,16,[-13.79011442 -12.15027909],[-15.64516496 -13.2225781 ],20.4843295808
34,0.156850645124,10000,[  2.09262889 -10.09046183],[ 0.01949349 -8.81520173],8.81522328077
35,0.530677993593,9,[ 15.13199455   5.59761542],[ 15.64532145   4.40753261],16.2543048722
36,0.23530198883,904,[-7.55931422 -7.459853  ],[-6.25812709 -8.81519248],10.8107249068
37,0.843992571223,11,[-14.63913004 -11.51083947],[-15.64516476 -13.22254718],20.4843094645
38,0.216109877319,14,[ 9.69929516  4.57401192],[ 9.38720862  4.40761271],10.3704742197
39,0.0588256218935,610,[ 1.90135996 -6.17883642],[ 3.12907809 -4.40761554],5.40538661574
40,0.941199925912,198,[-13.91208877  19.53980959],[-12.51602373  17.63007659],21.6210649689
41,0.705278093879,2086,[  5.58678994 -19.43115153],[  6.25801504 -17.63021037],18.7079413556
42,0.23530198883,871,[-5.21465846  9.45300656],[-6.25812712  8.81519247],10.8107249214
43,0.0588256218934,300,[-4.2835982  -2.86878663],[-3.12907807 -4.40761554],5.40538660764
44,0.235301988797,10,[ 6.99291684 -7.23730072],[ 6.25811875 -8.81519307],10.8107205677
45,0.37214493816,10000,[ 3.36049291  9.54543   ],[  3.12927651  13.22275918],13.587999547
46,0.941199925912,921,[ 12.36578473  17.04616953],[ 12.51604373  17.63007644],21.6210764279
47,0.0588256218758,8,[-2.84017968  5.10560934],[-3.12907209  4.40761576],5.4053833218
48,0.843992571273,15,[-18.68811703 -13.83934341],[-15.64516472 -13.22254091],20.4843053849
49,0.530677993596,14,[ 17.38731004   4.50875191],[ 15.64532152   4.40756684],16.2543142277
50,0.216109877268,11,[ 7.18203495 -4.99802342],[ 9.38720858 -4.40758082],10.3704606271
