,f_opt,iterations,x_0,x_opt,dist_to_origin
0,1.33440229327,2210,[ 19.63992143 -16.56066767],[ 18.7740094  -17.62983266],25.7541147856
1,0.078642249879,2175,[ 5.37771407  0.97752757],[  6.25815009e+00   1.98276037e-05],6.2581500913
2,1.0025291798,2215,[-19.48982403  -4.80203945],[-21.90339502  -4.40750306],22.3424438336
3,0.843992571282,1934,[ 16.74978034  12.94881542],[ 15.64516471  13.22254005],20.4843048295
4,0.705278093928,2401,[  8.61005725  16.85115969],[  6.25802498  17.63019047],18.7079259311
5,0.372144910494,2167,[ -5.60456895  13.6859035 ],[ -3.12904102  13.22277933],13.587964928
6,0.372144910494,2427,[ -2.31312282 -15.67006853],[ -3.12904102 -13.2227793 ],13.587964904
7,0.941199925961,2334,[-15.4642381   17.50846295],[-12.51603359  17.6300566 ],21.6210543817
8,0.372144910494,2404,[ -2.6585927   15.77280339],[ -3.12904102  13.22277938],13.5879649799
9,1.33440229327,2354,[ 18.02342013  15.95124735],[ 18.7740094   17.62983272],25.7541148273
10,0.941199925961,2311,[-15.63798697 -17.98834043],[-12.51603388 -17.6300964 ],21.6210870062
11,0.372144910494,2202,[  2.97594543  14.47315289],[  3.12904102  13.22277933],13.5879649261
12,0.707779067907,2231,[-18.69197373   1.37551721],[ -1.87743876e+01   1.98692243e-05],18.774387604
13,1.31583901983,2603,[ 19.79971419 -14.72169781],[ 21.90317459 -13.22237914],25.5847682717
14,0.235301988896,2377,[ 4.24439585  7.77312221],[ 6.25811897  8.81517307],10.8107043868
15,0.47122736813,1520,[ 10.64438497   8.88423343],[ 12.51622159   8.81514657],15.308906294
16,0.941199925961,2394,[-12.2265535   15.44498412],[-12.51603359  17.63005661],21.6210543939
17,0.843992571282,1682,[-16.7253795  13.1534983],[-15.64516476  13.22254006],20.4843048756
18,0.15666012958,2316,[ -1.21897061  10.4154343 ],[ -2.25338042e-10   8.81523473e+00],8.81523473299
19,0.372144910494,2355,[ -1.95178521 -15.05435703],[ -3.12904102 -13.22277935],13.5879649467
20,0.941199925961,2591,[ 10.87901935  15.99442034],[ 12.51603359  17.63005657],21.6210543623
21,0.705278093928,2276,[  4.60151024 -16.73645316],[  6.25802498 -17.63019042],18.7079258816
22,0.216109877325,2299,[-10.05383048   6.17378186],[-9.38720862  4.4076134 ],10.3704745124
23,0.235301988896,2037,[ 7.21583536 -9.3370618 ],[ 6.25811904 -8.81521273],10.8107367684
24,0.314568802701,2414,[-11.63624078  -2.14634606],[ -1.25162845e+01  -1.98479333e-05],12.5162845375
25,0.372144910494,2504,[ -0.47938723  12.60934125],[ -3.12904097  13.2227396 ],13.5879262541
26,0.52942759852,2131,[ -8.94069066  14.09268983],[ -9.38711504  13.222713  ],16.2159818678
27,0.47122736813,2356,[ 12.48650303 -11.10229158],[ 12.51622226  -8.81514652],15.3089068126
28,0.941199925961,2383,[-12.43492794 -15.44174925],[-12.51603359 -17.63005662],21.6210544028
29,0.941199925962,2531,[-14.61017988  19.41142495],[-12.51603388  17.63009647],21.6210870567
30,0.372144910494,2619,[  5.18336726 -15.03656271],[  3.12904102 -13.22277936],13.5879649597
31,0.843992571282,2276,[-15.41198686 -11.68107336],[-15.64516471 -13.22254002],20.4843048044
32,0.372144910494,2205,[ -5.71395936 -13.7014158 ],[ -3.12904102 -13.22277934],13.5879649369
33,0.235301988896,1781,[-6.13283088 -8.65940784],[-6.25811897 -8.81517307],10.8107043857
34,0.864435669993,2527,[-18.14761831 -11.61400642],[-18.77429375  -8.81503595],20.7407561197
35,1.47061539155,2392,[-15.56220473  19.88428193],[-15.64484777  22.03728194],27.0259700438
36,0.216109877326,2182,[-7.7694681   5.16878974],[-9.38720862  4.40761346],10.3704745344
37,0.156660129579,2416,[  0.96792381 -11.08326174],[  1.53590644e-10  -8.81523469e+00],8.81523468992
38,0.707779067907,2053,[ 18.06387238  -0.54886041],[  1.87743876e+01  -1.98438388e-05],18.7743876031
39,0.0588256219746,2141,[ 2.90575532 -5.35089333],[ 3.12907215 -4.40763541],5.40539937568
40,0.843992571281,2160,[-15.07436722  12.33275078],[-15.64516471  13.22254009],20.4843048506
41,0.864435669992,2413,[ 18.5806604   -6.39111228],[ 18.77429353  -8.8149962 ],20.740739036
42,9.88291670723e-11,2433,[ 0.63644593 -2.51102862],[  1.25734794e-10  -1.98035272e-05],1.98035272447e-05
43,0.156660129579,2338,[ -0.07964611  10.9924501 ],[ -1.46880402e-11   8.81523467e+00],8.81523467232
44,0.156660129579,2318,[-0.88245833 -7.15720914],[ -1.94657173e-10  -8.81519510e+00],8.81519510311
45,0.372144910494,2125,[  4.99499129 -13.80458033],[  3.12904102 -13.22277931],13.5879649111
46,0.707779067906,2363,[ 19.00443472   2.26966085],[  1.87743876e+01   1.98250236e-05],18.774387604
47,0.235301988896,2237,[  6.02143227  10.26502219],[ 6.25811904  8.81521268],10.8107367214
48,0.0588256219746,2058,[-4.59237536  4.89598509],[-3.12907216  4.40763541],5.40539937727
49,1.31583901983,2513,[-19.2138885   12.87154178],[-21.90317422  13.22233934],25.5847473794
50,0.941199925962,2422,[-14.12911796 -19.55004637],[-12.51603388 -17.63009647],21.6210870564
51,9.83585435321e-11,2144,[-1.0915311  -0.81043409],[ -6.08168517e-10  -1.97562942e-05],1.97562942285e-05
52,0.843992571282,2821,[-13.73520518  15.11510334],[-15.64516498  13.22257983],20.4843307077
53,0.530677993619,2554,[ 16.7206368   1.838582 ],[ 15.64532144   4.40752978],16.2543041
54,0.235301988896,2078,[ 8.03282624 -9.30078799],[ 6.25811904 -8.81521272],10.8107367571
55,0.156660129579,2408,[-0.74171401 -6.60829014],[ -1.50452828e-10  -8.81519509e+00],8.81519509209
56,0.529427598519,2447,[ 10.44978202  15.64607221],[  9.38711504  13.22271294],16.2159818186
57,0.705278093928,2128,[  3.63926939  18.00146251],[  6.25802511  17.63023024],18.7079634593
58,0.843992571282,2525,[ 17.82161957 -14.88706588],[ 15.64516498 -13.2225798 ],20.4843306854
59,1.47061539155,2434,[-15.81342344 -19.59540645],[-15.64484777 -22.03728192],27.0259700274
60,0.941199925961,1926,[-10.89834935  17.50034466],[-12.51603358  17.63005659],21.6210543715
61,0.0588256219748,2092,[ 1.8617725   5.01436483],[ 3.12907215  4.40763543],5.4053993915
62,0.235301988896,2136,[ 5.58353584 -9.68468394],[ 6.25811904 -8.81521272],10.810736757
63,0.372144910494,2191,[  2.78536068  12.11898697],[  3.12904097  13.2227396 ],13.5879262594
64,0.53067799362,2322,[ 16.64324551  -2.69244614],[ 15.64532144  -4.40752971],16.2543040812
65,0.216109877326,1803,[ 8.58475501 -4.57276866],[ 9.38720861 -4.40761348],10.370474537
66,0.15666012958,2558,[ -0.89173087  11.60892638],[ -1.63316217e-10   8.81523472e+00],8.81523472143
67,0.843992571282,1458,[-17.29394463  13.23752412],[-15.64516561  13.22254006],20.4843055186
68,0.0588256219743,2609,[ 3.42890779 -1.0248499 ],[ 3.12907214 -4.40759581],5.40536707931
69,0.372144910494,2129,[  4.39253739 -12.56613875],[  3.12904097 -13.22273966],13.587926317
70,0.47122736813,2532,[-12.32686525  -5.76052495],[-12.51622212  -8.81510692],15.3088838938
71,0.372144910493,2089,[ -5.30849438  12.97096888],[ -3.12904097  13.22273969],13.5879263401
72,0.707779067906,2285,[-17.38006785   1.17563524],[ -1.87743876e+01   1.97982379e-05],18.7743876037
73,1.0025291798,2407,[-19.42349588   5.09412545],[-21.90339502   4.40750304],22.3424438301
74,0.941199925961,2413,[-13.60358482 -19.92231921],[-12.51603388 -17.63009643],21.6210870286
75,0.529427598519,2459,[ 12.30973358  12.88400311],[  9.38711489  13.22267329],16.2159493938
76,0.0588256219747,2649,[-1.16090682  6.1636449 ],[-3.12907215  4.40763542],5.40539938664
77,0.47122736813,2432,[-15.15977687  -8.09943105],[-12.51622212  -8.81510692],15.3088838987
78,0.529427598519,2129,[ -6.57359929 -13.4864152 ],[ -9.38711504 -13.22271293],16.2159818095
79,0.314568802701,2372,[-13.73024581   1.87280518],[ -1.25162845e+01   1.98186363e-05],12.5162845378
80,0.0786422498787,2356,[-6.37365511 -2.25749529],[ -6.25815009e+00  -1.97967769e-05],6.2581500917
