,f_opt,iterations,x_0,x_opt,dist_to_origin
0,0.4712273681228244,15,[-12.0562125    8.52955305],[-12.51622212   8.81510763],15.308884309300332
1,0.37214491042452913,21,[ 4.47578003 15.40251435],[ 3.12904101 13.22277035],13.587956184470672
2,1.3344022932476656,26,[ 19.09359869 -13.98240638],[ 18.77400942 -17.62983492],25.75411635146784
3,0.21610987729407138,16,[11.14635235 -4.21188661],[ 9.38720857 -4.4075773 ],10.370459124381384
4,0.05882562193483065,18,[-4.44218379 -5.47184663],[-3.12907215 -4.40763091],5.405395708479233
5,0.15666012952481234,17,[-2.4995061  -8.79971489],[ 4.81640576e-36 -8.81520164e+00],8.815201641599053
6,0.21610987726116648,19,[-9.56610036 -6.54438061],[-9.38720861 -4.40760529],10.370471054311759
7,0.23530198886202913,20,[-4.03726056  9.86130692],[-6.25811903  8.81520893],10.810733663457741
8,0.9411999259434555,18,[-12.26998873  19.45487668],[-12.51603386  17.63009456],21.62108549134082
9,0.3145688026466328,18,[12.31219174  1.47371055],[1.25162845e+01 1.32794520e-05],12.516284537718521
10,0.05882562193523799,17,[-3.26780277  3.41303473],[-3.12907214  4.40760023],5.405370680933796
11,0.31456880264549314,23,[-13.69291898   2.61745234],[-1.25162845e+01  1.31078417e-05],12.516284537718565
12,0.5294275984856224,18,[  7.92008862 -14.19699597],[  9.38711503 -13.22270922],16.215978779747665
13,0.5294275984885136,19,[  9.57072612 -10.97386761],[  9.3871149  -13.22267662],16.215952122329046
14,0.15666012955062802,23,[2.55446494 9.99876444],[-8.48654811e-38  8.81523158e+00],8.81523157890115
15,0.3145688026455524,17,[12.99437273  0.82097524],[1.25162845e+01 1.31168301e-05],12.516284537718564
16,0.23530198883560638,18,[-6.01283363 -7.46898018],[-6.25811898 -8.81518054],10.810710481234292
17,0.7077790678688033,20,[17.50583669 -1.76858554],[ 1.87743876e+01 -1.55966916e-05],18.774387604150004
18,0.8439925712330737,18,[ 16.1941535  -14.73140661],[ 15.64516494 -13.22257412],20.484326990612413
19,0.5306779936068838,23,[15.45842251  0.95645436],[15.64532144  4.40753106],16.254304450340765
20,0.3721449104531218,14,[  3.35885706 -13.35606254],[  3.12904101 -13.22277471],13.587960432734777
21,0.47122736807457555,21,[11.72851848 11.42541512],[12.51622224  8.81513986],15.308902957934816
22,0.23530198883595854,19,[ 4.75722364 10.05780624],[6.25811903 8.81520529],10.810730690098751
23,1.315839019754835,19,[19.99808037 13.93398997],[21.9031745  13.22236941],25.584763164614355
24,0.37214491048630005,19,[ 1.0885372  14.28733857],[ 3.12904102 13.22277856],13.587964181208365
25,0.626637414724162,19,[ 0.61191768 19.83830888],[-1.11835447e-46  1.76302698e+01],17.63026984744337
26,0.3721449104662451,22,[ -6.0402366  -12.91888612],[ -3.12904097 -13.22274264],13.587929218699628
27,0.5294275985121734,20,[11.22546462 11.86290299],[ 9.38711489 13.22267398],16.21594995814077
28,0.7077790678856059,18,[19.97204152 -1.26232955],[ 1.87743876e+01 -1.76102685e-05],18.77438760414673
29,0.3145688026427478,19,[12.41595242  2.15182758],[1.25162845e+01 1.26849248e-05],12.516284537718677
30,0.2161098772554636,19,[ 8.06060496 -5.63397362],[ 9.38720861 -4.40760427],10.370470621450371
31,1.3344022932369237,17,[-18.75704486 -16.71420979],[-18.77400943 -17.62983618],25.754117222404915
32,0.05882562196804453,16,[-4.20951526 -4.86766451],[-3.12907215 -4.40763474],5.405398829662463
33,0.864435669932701,18,[17.23916705  9.51329422],[18.77429371  8.81502857],20.740752949511222
34,0.9411999258935958,18,[-14.67810994  18.12265814],[-12.51603382  17.63008776],21.62107992096562
35,0.7052780938979664,21,[-8.14591496 16.2403055 ],[-6.25802499 17.63019371],18.707928985860498
36,0.4712273681262853,18,[ 12.39668159 -10.74825591],[12.51622226 -8.81514617],15.30890661176744
37,0.07864224985463397,16,[-7.2388363  0.4322992],[-6.25815009e+00  1.72186792e-05],6.2581500917239605
38,0.3721449104896345,20,[  1.87979931 -11.38438702],[  3.12904097 -13.22274008],13.587926719945507
39,0.9411999259002479,18,[-13.13075338 -18.96656375],[-12.51603382 -17.63008889],21.62108084261472
40,0.9411999259085939,19,[-12.09634043 -19.79896574],[-12.51603383 -17.63009017],21.621081892092167
41,0.8644356699735778,20,[-18.36164579   6.29065045],[-18.77429355   8.81499816],20.74073987583216
42,0.7052780938729164,16,[-5.21176327 17.40104342],[-6.258025   17.63019705],18.70793213929605
43,3.329281295094688e-11,19,[-0.14829616 -2.08859963],[ 4.08733133e-38 -1.14941068e-05],1.14941068424745e-05
44,0.9987772591973292,23,[-2.98811352 18.70165507],[-3.12897796 22.03762822],22.258651364486546
45,0.5306779935755952,24,[17.02521046 -6.97517734],[15.64532152 -4.40756434],16.254313544348673
46,0.21610987725707065,22,[-8.575798   -1.82324183],[-9.38720858 -4.40758269],10.370461421480124
47,0.37214491042769027,21,[  4.85893706 -15.04323707],[  3.12904101 -13.22277091],13.587956734238528
48,0.7077790678632623,21,[-17.14562641   1.63846449],[-1.87743876e+01  1.48730559e-05],18.774387604151077
49,0.47122736806515064,19,[13.41670364  7.20670288],[12.51622215  8.81511511],15.308888633000624
50,0.21610987725295872,24,[10.17484836  7.52155324],[9.38720861 4.40760379],10.3704704176853
51,0.05882562191024088,18,[3.87747959 5.60931726],[3.12907215 4.4076273 ],5.4053927614543555
52,0.07864224982368784,20,[-8.18149363  1.27825411],[-6.25815009e+00  1.31773815e-05],6.258150091717223
53,0.705278093877356,18,[ 4.32947816 17.29115028],[ 6.258025  17.6301964],18.707931525151896
54,0.941199925916933,19,[-11.74195737 -16.02183227],[-12.51603363 -17.63006169],21.62105855577083
55,1.3344022932626494,21,[-18.02585477  15.31126341],[-18.7740094  17.6298333],25.75411523094282
56,0.5294275984675434,17,[ 10.29719381 -13.94889572],[  9.38711502 -13.22270681],16.215976806436224
57,0.7052780938967649,17,[  6.69720119 -16.74361102],[  6.25802499 -17.63019385],18.707929122519914
58,0.058825621937035666,20,[ 1.85872237 -2.5505261 ],[ 3.12907214 -4.4076    ],5.405370492983331
59,0.7052780938609873,17,[ -8.31347295 -17.96134609],[ -6.25802509 -17.63022168],18.707955377239045
60,0.2161098772710237,24,[-9.58390152 -0.5684154 ],[-9.38720858 -4.40758039],10.370460444272902
61,1.334402293258103,18,[18.30113265 16.20343112],[18.77400941 17.62983378],25.754115560745113
62,0.5306779935518587,21,[-17.00812684   6.57708088],[-15.64532151   4.40756069],16.25431254778241
63,0.21610987730349596,24,[9.13678961 8.03447194],[9.38720862 4.40761107],10.370473517130582
64,0.23530198885302778,20,[-3.57233646  9.3081267 ],[-6.25811903  8.81520778],10.810732719328724
65,0.8644356699285675,19,[-18.02942993  10.53523643],[-18.7742937    8.81502789],20.74075265919006
66,0.7052780938684756,20,[ -5.1209871  -19.71520984],[ -6.25802509 -17.63022293],18.70795655453957
67,0.9411999259130286,21,[-13.43119008 -15.26497556],[-12.51603363 -17.63006223],21.62105899471082
68,0.8439925712179243,15,[15.70666254 13.0218247 ],[15.64516476 13.22254808],20.48431004818832
69,0.31456880263591236,18,[12.15802009 -1.29181796],[ 1.25162845e+01 -1.15650087e-05],12.516284537718958
70,0.37214491048671716,16,[  3.70155163 -12.68379463],[  3.12904097 -13.22274038],13.587927013284407
71,0.37214491045700626,19,[  1.26267845 -14.34526936],[  3.12904101 -13.22277521],13.587960919127532
72,0.15666012950804353,16,[0.70221366 8.52912191],[5.10833283e-38 8.81520445e+00],8.815204452780245
73,0.3721449104357776,19,[  5.90867819 -13.55286437],[  3.12904101 -13.22277224],13.587958030481474
74,0.3145688026473127,18,[15.39124272 -0.08668896],[ 1.25162845e+01 -1.33807835e-05],12.516284537718494
75,0.864435669929532,21,[ 18.06160685 -11.40388424],[18.7742937  -8.81502806],20.740752728393705
76,0.07864224983149048,19,[ 5.1082225  -1.56100315],[ 6.25815009e+00 -1.43043638e-05],6.258150091718922
77,0.8644356699352158,18,[-18.09519274 -10.04757315],[-18.77429371  -8.81502896],20.74075311871083
78,0.3721449104630157,15,[ 3.67127925 13.49196285],[ 3.12904102 13.22277595],13.587961642550843
79,0.4712273680801319,24,[-14.4899887   10.81151893],[-12.51622224   8.81514067],15.308903430219008
80,0.15666012951731945,20,[0.09002988 6.14473915],[1.45249729e-40 8.81520282e+00],8.815202816624288
81,0.5294275984640519,21,[12.07284191 12.70531038],[ 9.38711491 13.22267991],16.215954807081662
82,0.05882562191898233,17,[4.57504154 3.97376161],[3.12907214 4.40760249],5.405372529794694
83,0.6266374146949089,17,[-0.24602016 18.32641361],[-1.24251552e-46  1.76302653e+01],17.63026525472372
84,0.5294275984726261,13,[ -7.82759775 -13.26806448],[ -9.38711491 -13.22267867],16.215953796288883
85,1.3344022932684347,18,[-17.47684928 -16.74837477],[-18.7740094  -17.62983271],25.754114822607992
86,0.8644356699760546,18,[-18.58536269  -7.16000149],[-18.77429354  -8.81499788],20.740739758138684
87,0.7077790678485161,18,[19.87009955 -1.06740914],[ 1.87743876e+01 -1.27485486e-05],18.774387604153947
88,0.5294275984926214,20,[-12.00977739 -12.75564943],[ -9.3871149  -13.22267614],16.215951722347672
89,0.05882562190590124,19,[ 3.03646755 -2.409971  ],[ 3.12907214 -4.40760465],5.405374291518539
90,0.7052780938872552,17,[ 7.90617313 18.15766776],[ 6.2580251  17.63022561],18.70795909025935
91,0.47122736807811405,21,[-10.65740367   7.49220693],[-12.51622214   8.81511307],15.308887452368243
92,0.5294275984606772,23,[ 8.44769584 16.04786553],[ 9.38711502 13.22270577],16.21597595900418
93,0.05882562196135277,18,[-1.35334754 -3.6682423 ],[-3.12907214 -4.40759716],5.405368179382182
94,0.8439925712209121,20,[ 13.11188884 -12.97878251],[ 15.64516476 -13.22254759],20.484309728095134
95,0.21610987728153608,19,[-8.00247617  3.10667709],[-9.38720858  4.4075789 ],10.370459807733644
96,0.05882562194161567,20,[-3.603362   -7.21443324],[-3.12907215 -4.40763176],5.405396406268186
97,0.5306779935465779,14,[-14.83030562   4.48252169],[-15.64532151   4.4075597 ],16.25431227770651
98,0.07864224982370582,18,[-6.8293996  -1.38334763],[-6.25815009e+00 -1.31800563e-05],6.258150091717226
99,0.07864224984570023,19,[6.71975145 2.28214995],[6.25815009e+00 1.61561122e-05],6.258150091722015
100,0.5294275984513069,18,[-9.23375106 14.577693  ],[-9.38711501 13.2227042 ],16.21597467577244
101,0.07864224986168356,22,[-8.51714254 -1.40012879],[-6.25815009e+00 -1.80129443e-05],6.258150091725495
102,0.23530198883796372,23,[ -4.12983662 -10.39777141],[-6.25811903 -8.81520561],10.81073094903265
103,0.5306779935829657,20,[-16.77977241   2.27763022],[-15.64532145   4.40753384],16.254305209702732
104,0.9411999259220538,15,[ 13.85032161 -17.55032675],[ 12.51603363 -17.63006102],21.621058003049804
105,0.21610987725646458,18,[-8.17929886 -3.6335455 ],[-9.38720858 -4.4075828 ],10.370461468630424
106,0.707779067898187,18,[-17.35079065   0.95909068],[-1.87743876e+01  1.89785774e-05],18.774387604144284
107,0.5294275984473943,19,[ -9.53725472 -11.40063147],[ -9.38711492 -13.22268272],16.21595710818472
108,1.3158390197755077,23,[19.48359697 14.36191409],[21.90317454 13.22237288],25.584764985277438
109,0.07864224987440771,17,[-6.47917985  1.202934  ],[-6.25815009e+00  1.93642783e-05],6.258150091728266
110,0.3721449104357517,21,[ 2.29834054 15.921268  ],[ 3.12904101 13.22277224],13.587958026528428
111,0.529427598493156,17,[-10.46336345 -12.54305237],[ -9.3871149  -13.22267607],16.21595167114173
112,1.334402293266486,19,[19.89153535 15.93057305],[18.7740094  17.62983291],25.754114958819077
113,0.9411999259183516,17,[ 15.02534305 -17.92901748],[ 12.51603384 -17.63009153],21.621083006114116
114,0.4712273681150093,23,[ 14.46761367 -10.80140469],[12.51622225 -8.81514498],15.308905923285513
115,0.8644356699704246,17,[17.85297084 -8.10526688],[18.77429355 -8.81499851],20.740740028323007
116,0.471227368129735,19,[-14.92202622   9.60874984],[-12.51622226   8.81514652],15.308906814133252
117,0.5294275984822281,15,[ -9.01438417 -12.98283934],[ -9.3871149 -13.2226774],16.215952758452165
118,0.47122736812924093,21,[-11.04927072 -10.85995799],[-12.51622226  -8.81514647],15.308906785377985
119,0.37214491045291964,24,[3.42796508 9.77282054],[ 3.12904097 13.2227443 ],13.58793082986924
120,0.5294275984725844,19,[  6.98744981 -12.94906331],[  9.38711491 -13.22267868],16.215953801004137
121,0.8439925712088645,19,[17.70734342 14.02849326],[15.64516491 13.22257016],20.484324417434728
122,0.5294275984475382,18,[ 8.89594563 12.16900595],[ 9.38711492 13.22268269],16.2159570856243
123,0.05882562191255958,16,[3.68831993 4.03270212],[3.12907214 4.4076035 ],5.4053733554017125
124,0.4712273680696468,20,[-12.38399422  -6.21448357],[-12.51622215  -8.81511436],15.30888820141005
125,0.3145688026282877,22,[15.37450518  0.60625291],[1.25162845e+01 1.01712528e-05],12.516284537719267
126,0.9411999259179974,20,[10.36643977 16.94158765],[12.51603363 17.63006155],21.62105843882814
127,0.21610987726812547,22,[6.51727052 4.81579939],[9.38720861 4.40760642],10.370471536166443
128,0.3721449104578658,14,[ 3.34915481 13.361374  ],[ 3.12904101 13.22277532],13.587961024676062
129,0.7052780939086015,16,[ -6.03098295 -17.08498802],[ -6.25802498 -17.63019248],18.70792782465134
130,0.5294275984553004,20,[-9.99898697 15.82934418],[-9.38711501 13.2227049 ],16.215975243569382
131,0.37214491043515374,17,[  1.79266256 -12.83599968],[  3.12904098 -13.22274684],13.587933301486064
132,0.05882562193140939,16,[-2.08065302 -4.77064894],[-3.12907215 -4.40763046],5.4053953414103475
133,0.9411999259067672,18,[-13.04544474  19.08331605],[-12.51603383  17.6300899 ],21.62108167097261
134,0.8439925712373141,18,[15.09098276 14.67767049],[15.64516494 13.2225747 ],20.484327370634947
135,0.5306779935957324,18,[-16.51867194   5.90661387],[-15.64532152   4.40756684],16.25431422759462
136,1.3158390197869319,21,[19.81494744 14.51493397],[21.90317455 13.22237446],25.58476581531725
137,0.5306779935518898,19,[15.2482004  -6.31020282],[15.64532151 -4.4075607 ],16.254312549286006
138,0.9411999259370473,19,[-13.60406089 -16.0142473 ],[-12.51603361 -17.63005919],21.62105650789565
139,0.37214491046481757,20,[ -4.35550435 -15.40691337],[ -3.12904102 -13.22277617],13.587961853160975
140,0.372144910425959,18,[  2.37429989 -12.22181289],[  3.12904098 -13.22274838],13.58793480021181
